Model,Val_MAE,Val_RMSE,Val_MAPE,Val_R2,Test_MAE,Test_RMSE,Test_MAPE,Test_R2
Seasonal Naive,1028.241615452151,1414.7755523287003,9.484519765317897,0.6089919879470107,1273.5898296836983,1822.3005275677563,10.760105021604847,0.38009265401600556
Linear Regression,255.47500079745276,363.5751551082851,2.47005883940769,0.9741774599502789,282.46188308076125,391.76684003577947,2.505577070292456,0.9713488453887015
Random Forest,222.92575682293594,332.8755589492637,2.0793967798831288,0.9783541631409927,330.00585095130776,498.5990115636851,2.718447560115837,0.9535923467556763
XGBoost,224.22979581641425,328.29420103859786,2.055527517312272,0.9789458852099652,362.88329279767333,545.8187018724826,2.9239124244655805,0.944386067498896
LightGBM,208.179923529094,297.97434564624234,1.9309057157378149,0.9826552392761054,338.33008096221477,506.60955684211336,2.7396258430095766,0.9520891873370441
